observation_id,district_id,group_id,income_scenario_id,year,offer_rent_per_sqm,flat_size_sqm,utilities_eur,warm_rent_eur,monthly_income_eur,housing_stress_score,affordability_status,rent_source_id,income_source_id
affordability_mockau_sued_students_bafog_only_2026,mockau_sued,students,bafog_only,2026,9.8,30,120,414.0,992,0.417,critical,wohnungsboerse_2026,bafoeg_2024
affordability_mockau_sued_students_bafog_plus_minijob_2026,mockau_sued,students,bafog_plus_minijob,2026,9.8,30,120,414.0,1595,0.26,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_moeckern_students_bafog_only_2026,moeckern,students,bafog_only,2026,10.63,30,120,438.9,992,0.442,critical,wohnungsboerse_2026,bafoeg_2024
affordability_moeckern_students_bafog_plus_minijob_2026,moeckern,students,bafog_plus_minijob,2026,10.63,30,120,438.9,1595,0.275,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_moelkau_students_bafog_only_2026,moelkau,students,bafog_only,2026,10.56,30,120,436.8,992,0.44,critical,wohnungsboerse_2026,bafoeg_2024
affordability_moelkau_students_bafog_plus_minijob_2026,moelkau,students,bafog_plus_minijob,2026,10.56,30,120,436.8,1595,0.274,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_neulindenau_students_bafog_only_2026,neulindenau,students,bafog_only,2026,11.43,30,120,462.9,992,0.467,not_affordable,wohnungsboerse_2026,bafoeg_2024
affordability_neulindenau_students_bafog_plus_minijob_2026,neulindenau,students,bafog_plus_minijob,2026,11.43,30,120,462.9,1595,0.29,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_neustadt_neuschoenefeld_students_bafog_only_2026,neustadt_neuschoenefeld,students,bafog_only,2026,10.77,30,120,443.1,992,0.447,critical,wohnungsboerse_2026,bafoeg_2024
affordability_neustadt_neuschoenefeld_students_bafog_plus_minijob_2026,neustadt_neuschoenefeld,students,bafog_plus_minijob,2026,10.77,30,120,443.1,1595,0.278,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
